game_id,season,week,team,opponent,location,off_red_zone_app_perc,off_red_zone_eff,def_red_zone_app_perc,def_red_zone_eff
2006_01_MIA_PIT,2006,1,PIT,MIA,home,0.15384615384615385,0.5,0.25,0.6666666666666666
2006_01_MIA_PIT,2006,1,MIA,PIT,away,0.25,0.6666666666666666,0.15384615384615385,0.5
2006_01_ATL_CAR,2006,1,CAR,ATL,home,0,0,0.25,0.3333333333333333
2006_01_ATL_CAR,2006,1,ATL,CAR,away,0.25,0.3333333333333333,0,0
2006_01_NO_CLE,2006,1,CLE,NO,home,0.2727272727272727,0.6666666666666666,0.3333333333333333,0.25
2006_01_NO_CLE,2006,1,NO,CLE,away,0.3333333333333333,0.25,0.2727272727272727,0.6666666666666666
2006_01_SEA_DET,2006,1,DET,SEA,home,0.09090909090909091,0,0.09090909090909091,0
2006_01_SEA_DET,2006,1,SEA,DET,away,0.09090909090909091,0,0.09090909090909091,0
2006_01_PHI_HOU,2006,1,HOU,PHI,home,0.2222222222222222,0,0.2222222222222222,0.5
2006_01_PHI_HOU,2006,1,PHI,HOU,away,0.2222222222222222,0.5,0.2222222222222222,0
2006_01_CIN_KC,2006,1,KC,CIN,home,0.18181818181818182,0.5,0.25,0.3333333333333333
2006_01_CIN_KC,2006,1,CIN,KC,away,0.25,0.3333333333333333,0.18181818181818182,0.5
2006_01_BUF_NE,2006,1,NE,BUF,home,0.2727272727272727,0.6666666666666666,0.2,0.5
2006_01_BUF_NE,2006,1,BUF,NE,away,0.2,0.5,0.2727272727272727,0.6666666666666666
2006_01_DEN_STL,2006,1,LA,DEN,home,0.4166666666666667,0,0.09090909090909091,1
2006_01_DEN_STL,2006,1,DEN,LA,away,0.09090909090909091,1,0.4166666666666667,0
2006_01_BAL_TB,2006,1,TB,BAL,home,0.08333333333333333,0,0.23076923076923078,0.6666666666666666
2006_01_BAL_TB,2006,1,BAL,TB,away,0.23076923076923078,0.6666666666666666,0.08333333333333333,0
2006_01_NYJ_TEN,2006,1,TEN,NYJ,home,0.23076923076923078,0.6666666666666666,0.46153846153846156,0.5
2006_01_NYJ_TEN,2006,1,NYJ,TEN,away,0.46153846153846156,0.5,0.23076923076923078,0.6666666666666666
2006_01_SF_ARI,2006,1,ARI,SF,home,0.46153846153846156,0.6666666666666666,0.3076923076923077,0.5
2006_01_SF_ARI,2006,1,SF,ARI,away,0.3076923076923077,0.5,0.46153846153846156,0.6666666666666666
2006_01_CHI_GB,2006,1,GB,CHI,home,0,0,0.36363636363636365,0
2006_01_CHI_GB,2006,1,CHI,GB,away,0.36363636363636365,0,0,0
2006_01_DAL_JAX,2006,1,JAX,DAL,home,0.38461538461538464,0.6,0.14285714285714285,0
2006_01_DAL_JAX,2006,1,DAL,JAX,away,0.14285714285714285,0,0.38461538461538464,0.6
2006_01_IND_NYG,2006,1,NYG,IND,home,0.2222222222222222,1,0.5555555555555556,0.4
2006_01_IND_NYG,2006,1,IND,NYG,away,0.5555555555555556,0.4,0.2222222222222222,1
2006_01_MIN_WAS,2006,1,WAS,MIN,home,0.4,0.25,0.18181818181818182,0.5
2006_01_MIN_WAS,2006,1,MIN,WAS,away,0.18181818181818182,0.5,0.4,0.25
2006_01_SD_OAK,2006,1,LV,LAC,home,0.07692307692307693,0,0.36363636363636365,0.75
2006_01_SD_OAK,2006,1,LAC,LV,away,0.36363636363636365,0.75,0.07692307692307693,0
2006_02_TB_ATL,2006,2,ATL,TB,home,0.6,0.3333333333333333,0,0
2006_02_TB_ATL,2006,2,TB,ATL,away,0.25,0,0.23076923076923078,0.6666666666666666
2006_02_OAK_BAL,2006,2,BAL,LV,home,0.4,0.16666666666666666,0.08333333333333333,0
2006_02_OAK_BAL,2006,2,LV,BAL,away,0.2,0,0.36363636363636365,0.75
2006_02_DET_CHI,2006,2,CHI,DET,home,0.25,0.6666666666666666,0,0
2006_02_DET_CHI,2006,2,DET,CHI,away,0.18181818181818182,0.5,0.09090909090909091,0
2006_02_CLE_CIN,2006,2,CIN,CLE,home,0.35714285714285715,0.6,0.18181818181818182,0.5
2006_02_CLE_CIN,2006,2,CLE,CIN,away,0.23076923076923078,0.6666666666666666,0.3333333333333333,0.25
2006_02_NO_GB,2006,2,GB,NO,home,0.35714285714285715,0.4,0.36363636363636365,0
2006_02_NO_GB,2006,2,NO,GB,away,0.06666666666666667,1,0.2727272727272727,0.6666666666666666
2006_02_HOU_IND,2006,2,IND,HOU,home,0.5454545454545454,0.6666666666666666,0.2222222222222222,1
2006_02_HOU_IND,2006,2,HOU,IND,away,0.2,1,0.2222222222222222,0.5
2006_02_BUF_MIA,2006,2,MIA,BUF,home,0.09090909090909091,0,0.15384615384615385,0.5
2006_02_BUF_MIA,2006,2,BUF,MIA,away,0.2727272727272727,0.3333333333333333,0.2727272727272727,0.6666666666666666
2006_02_CAR_MIN,2006,2,MIN,CAR,home,0.26666666666666666,0.25,0.4,0.25
2006_02_CAR_MIN,2006,2,CAR,MIN,away,0.23076923076923078,0.3333333333333333,0.25,0.3333333333333333
2006_02_NYG_PHI,2006,2,PHI,NYG,home,0.13333333333333333,0.5,0.2222222222222222,0
2006_02_NYG_PHI,2006,2,NYG,PHI,away,0.06666666666666667,0,0.5555555555555556,0.4
2006_02_ARI_SEA,2006,2,SEA,ARI,home,0.23076923076923078,0.6666666666666666,0.09090909090909091,0
2006_02_ARI_SEA,2006,2,ARI,SEA,away,0,0,0.3076923076923077,0.5
2006_02_STL_SF,2006,2,SF,LA,home,0.3333333333333333,0,0.46153846153846156,0.6666666666666666
2006_02_STL_SF,2006,2,LA,SF,away,0.16666666666666666,0.5,0.09090909090909091,1
2006_02_KC_DEN,2006,2,DEN,KC,home,0.15384615384615385,0,0.4166666666666667,0
2006_02_KC_DEN,2006,2,KC,DEN,away,0.2,0,0.25,0.3333333333333333
2006_02_NE_NYJ,2006,2,NYJ,NE,home,0.09090909090909091,0,0.23076923076923078,0.6666666666666666
2006_02_NE_NYJ,2006,2,NE,NYJ,away,0.45454545454545453,0.6,0.2,0.5
2006_02_TEN_SD,2006,2,LAC,TEN,home,0.6363636363636364,0.5714285714285714,0.07692307692307693,0
2006_02_TEN_SD,2006,2,TEN,LAC,away,0.16666666666666666,0.5,0.46153846153846156,0.5
2006_02_WAS_DAL,2006,2,DAL,WAS,home,0.23076923076923078,0.6666666666666666,0.38461538461538464,0.6
2006_02_WAS_DAL,2006,2,WAS,DAL,away,0.07142857142857142,0,0.18181818181818182,0.5
2006_02_PIT_JAX,2006,2,JAX,PIT,home,0.25,0,0.14285714285714285,0
2006_02_PIT_JAX,2006,2,PIT,JAX,away,0,0,0.25,0.6666666666666666
2006_03_NYJ_BUF,2006,3,BUF,NYJ,home,0.3076923076923077,0.25,0.2727272727272727,0.6666666666666666
2006_03_NYJ_BUF,2006,3,NYJ,BUF,away,0.23076923076923078,1,0.23076923076923078,0.6666666666666666
2006_03_GB_DET,2006,3,DET,GB,home,0.07142857142857142,1,0.09090909090909091,0
2006_03_GB_DET,2006,3,GB,DET,away,0.23076923076923078,0.6666666666666666,0.36363636363636365,0
2006_03_WAS_HOU,2006,3,HOU,WAS,home,0.2222222222222222,1,0.2222222222222222,0.5
2006_03_WAS_HOU,2006,3,WAS,HOU,away,0.3333333333333333,0.6666666666666666,0.18181818181818182,0.5
2006_03_JAX_IND,2006,3,IND,JAX,home,0.09090909090909091,1,0.2222222222222222,1
